title,body,tags
Criar um objeto a partir de outra classe,"<p>Possuo a classe <code>Endereco</code> e a classe <code>Cliente</code>, construi 2 construtores para a <code>Cliente</code>, e em um deles é pra ser inserido o nome do cliente e um objeto do tipo <code>Endereco</code>, o que funciona perfeitamente, mas no outro construtor é pra ser inserido o nome do <code>Cliente</code> e criar um objeto do tipo <code>Endereco</code> junto, o problema é que após digitar os dados do <code>Endereco</code>, dou inspect e <code>Endereco</code> é considerado <strong>null</strong>.</p>

<p>Parte essencial(2 construtores) da classe Endereco:</p>

<pre><code>public class Endereco{
    private String logradouro;
    private String numero;
    private String complemento;
    private String telefone;
    private String celular;
    private String email;

    public Endereco(String log, String num, String comp, String tel, String cel, String mail){
        logradouro = log;
        numero = num;
        complemento = comp;
        telefone = tel;
        celular = cel;
        email = mail;
    }    
    public Endereco(){
        Teclado t = new Teclado();
        logradouro = t.leString(""Informe o logradouro: "");
        numero = t.leString(""Informe o numero: "");
        complemento = t.leString(""Informe o complemento: "");
        telefone = t.leString(""Informe o telefone: "");
        celular = t.leString(""Informe o celular: "");
        email = t.leString(""Informe o e-mail: "");
    }
}
</code></pre>

<p>Parte essencial da classe Cliente:</p>

<pre><code>public class Cliente{

    private String nome;
    private Endereco endereco;
    private int pontos;

    public Cliente(String nm, Endereco ed){
        nome = nm;
        endereco = ed;
        pontos = 0;
    }
    public Cliente(String nm){
        nome = nm;
        Endereco e = new Endereco();
    }
}
</code></pre>
",<java><orientação-a-objetos>
Programação Funcional e Programação Orientada a Objetos. O que são e quais suas principais diferenças?,"<p>O que são e quais as principais diferenças entre Programação Funcional e Programação Orientada a Objetos? </p>
",<orientação-a-objetos><programação-funcional><paradigmas>
Qual a melhor maneira de criar métodos acessíveis a qualquer activity?,"<p>Olá. Quando eu preciso criar um método para uma Activity eu simplesmente escrevo ele no código da minha Activity. Por exemplo:</p>

<pre><code>package com.pcriot.maxsoft.testapplication;

import android.os.Bundle;
import android.app.Activity;

public class MainActivity extends Activity {
    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_main);
    }

    private void MeuMetodo() {
        // Código aqui
    }
}
</code></pre>

<p>Mas agora, digamos que este método que eu criei precise ser chamado em todas as outras activities. Seria aconselhável criar uma classe para escrever os métodos que seriam utilizados pelas activities?</p>

<p>Uma classe como esta:</p>

<pre><code>package com.pcriot.maxsoft.testapplication;

import android.content.Context;

public class Functions {
    private Context context = null;

    public Functions(Context context) {
        this.context = context;
    }

    public void MeuMetodo1() {
        // Código aqui
    }

    public void MeuMetodo2() {
        // Código aqui
    }

    public void MeuMetodo3() {
        // Código aqui
    }
}
</code></pre>

<p>Depois eu poderia chamar cada um deles assim:</p>

<pre><code>package com.pcriot.maxsoft.testapplication;

import android.os.Bundle;
import android.app.Activity;

public class MainActivity extends Activity {
    private Functions Functions = new Functions(MainActivity.this);

    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_main);

        Functions.MeuMetodo1();
    }
}
</code></pre>

<p>Então? A maneira que estou fazendo está correta? Ou existe algum outro jeito e que tenha alguma vantagem que eu ainda não saiba.</p>
",<android><orientação-a-objetos><classes>
Duvida orientação a objeto + ORM java,"<p>Estou querendo armazenar os dados do meu programa via ORM e estou separando bonitinho cada objeto.</p>

<p>Meu objeto Usuario por exemplo, tem seus atributos basicos e também é composto por outros objetos como Endereco,Contato e Acesso.</p>

<p>Cada objeto tem um atributo ID, para identificação e associação...</p>

<p>Minha duvida é a seguinte, no metodo construtor de cada classe(Usuario,Endereco,Contato e Acesso) Eu devo passar o id correspondente ou apenas os demais atributos? Porque eu acho, que de repente o hibernate possa atribuir o ID correto.</p>

<pre><code>Public Class Cliente
   private long Id;
   private String Nome;

   Public Cliente(Long id,String Nome){} 
   'ou
   Public Cliente(String Nome){}  
   '?
</code></pre>
",<java><orientação-a-objetos>
Passar lista de objetos entre arquivos,"<p>Como passar uma lista de objetos através de dois arquivos JavaScript?</p>

<p>Tenho uma lista:</p>

<pre><code>var elementsList = [];
</code></pre>

<p>E esta lista é populada com N objetos:</p>

<pre><code>var oElement = {
    elem: """",
    emin: 0.0000,
    emax: 0.0000
}
</code></pre>

<p>Eu preciso passar isto tudo para uma janela modal:</p>

<pre><code>var oElem = {
            ""id"": ""FCADELEM"",
            ""data-height"": ""558"",
            ""data-width"": ""320"",
            ""data-name"": ""Elementos Químicos"",
            ""data-url"": ""FCADELEM.aspx?returnToForm=ifr_FCADQUAL"",
            ""data-module"": ""Elementos Químicos"",
            ""attr"": function (param) {
                return this[param];
            }
        }
        parent.createDialog(oElem);
</code></pre>

<p>Como posso passar esta lista de objetos para a outra janela sem usar o C#?</p>

<p>INFORMAÇÕES COMPLEMENTARES</p>

<ul>
<li><p>As duas janelas em questão são iframes Modal, da biblioteca jQuery.</p></li>
<li><p>Não é possível armazenar os dados no js da página 'mãe'.</p></li>
<li><p>As duas janelas são do mesmo domínio.</p></li>
</ul>
",<javascript><array><orientação-a-objetos><objetos>
Criar instância da classe dinamicamente PHP com Namespace,"<pre><code>$class = ucfirst(strtolower($_GET['type'])) . ""Controller"";    
include $class . "".php"";    
$item = new $class();   
</code></pre>

<hr>

<p>Porém se coloco nome da classe sem ser dinamicamente, por exemplo:</p>

<pre><code>$item = new PessoaController();
</code></pre>

<p>Está aceitando normalmente. Gostaria de saber como resolver e porque dinamicamente ele diz que a classe não existe?</p>
",<php><orientação-a-objetos><classes>
O que fazer se cliente pode ser tanto PF quanto PJ?,"<p>Estou desenvolvendo um sistema com orientação a objetos. que precisa manter um cadastro de clientes. Ocorre que esses clientes podem ser tanto pessoas físicas quanto jurídicas. Se os clientes fossem só pessoas jurídicas seria fácil: eu criaria uma classe abstrata <code>PessoaJuridica</code> e a classe cliente herdaria dela e implementaria outros membros específicos. Se os clientes fossem só pessoas físicas seria análogo, herdando de uma classe <code>PessoaFisica</code>.</p>

<p>Se um cliente, porém, pode ser qualquer um deles fica complicado. Minha primeira ideia foi ter duas classes <code>ClienteFisico</code> e <code>ClienteJuridico</code> cada uma herdando respectivamente de <code>PessoaFisica</code> e <code>PessoaJuridica</code>. Mas isso não me pareceu uma boa ideia.</p>

<p>Então pensei em uma segunda opção: definir <code>Cliente</code> como pessoa física <em>sempre</em> e então criar uma classe <code>Empresa</code>, sendo que um cliente pode possuir nenhuma ou várias empresas. Dessa forma, se não há empresas, os únicos dados relevantes são os dados de pessoa física do cliente. Se há empresas, então temos os dados de pessoa física do responsável por ela e junto uma lista com as informações das empresas.</p>

<p>O que eu gostaria de saber é: essa segunda abordagem que eu tomei é uma abordagem padrão? Digo isso no sentido de ser uma abordagem comum para resolver esse tipo de situação. Existem formas melhores para se modelar conceitos como esse em orietnação a objetos?</p>
",<orientação-a-objetos>
Como identificar classes em um sistema orientado a objetos?,"<p>Ao trabalharmos com orientação a objetos é preciso saber identificar quais classes são necessárias para uma certa aplicação. Algumas classes costumam ser ""óbvias"" em certo sentido: em um sistema de gerenciamento de produtos é intuitivamente claro que vamos precisar de classes <code>Produto</code>, <code>Fornecedor</code>, etc.</p>

<p>Inclusive, para ""detectar"" essas classes mais ""óbvias"" até ouvi falar de uma técnica: escrever casos de uso e então olhar os substantivos nesses casos de uso. Depois disso então filtramos essa lista de substantivos que obtemos pra ver quais realmente devem ser classes, ou seja, quais realmente representam conceitos importantes do problema tratado.</p>

<p>Mas existem classes que não são tão obvias e que eu acredito que não apareçam nos casos de uso. Por exemplo, considerando ASP.NET WebAPI, ao criarmos o projeto padrão no VS 2013 temos a classe <code>ApplicationOAuthProvider</code>, a classe <code>ChallengeResult</code> e além disso temos de criar os controllers.</p>

<p>Isso que falei é só um exemplo, porque realmente não sei uma forma melhor de expressar isso. O fato principal é que essas classes todas <em>não</em> me parecem óbvias, e me parece muito pouco provavel que elas apareçam nos casos de uso.</p>

<p>Dessa forma, como podemos identificar as classes necessárias em um sistema orientado a objetos? Além da técnica de analisar os casos de uso, como podemos achar essas classes ""menos óbvias""? Eu sei que esse assunto é <em>muito</em> extenso, por isso se possível peço referências para estudar mais sobre isso.</p>
",<orientação-a-objetos>
Como lidar com frameworks e tecnologias prontas?,"<p>Estou com uma dúvida faz um tempo e acho que pode até ser uma dúvida comum. Não sei muito bem como colocar a pergunta, mas vou tentar. Quando comecei a programar eu lidei com linguagens como PHP, C, C++. O que usei mais na prática mesmo foi o PHP. Basicamente eu tinha que desenvolver <em>tudo</em>, os códigos para autenticação/autorização e segurança, os códigos para interação com MySQL, etc.</p>

<p>Depois de 3 anos trabalhando com PHP aprendi o C# e comecei a trabalhar com o framework .NET desde então. Gosto muito das funcionalidades do framework e da linguagem também, que é ""mais"" orientada a objetos que o PHP, além de ser fortemente tipada e etc.</p>

<p>O problema é que esse tempo todo eu tenho uma dúvida bastante grande. Como existe todo um framework disponível, muitas coisas já estão prontas. Então, se eu preciso de bancos de dados, já tenho o EF ou o NHibernate, se eu preciso utilizar serviços REST já tenho o WebAPI, se eu preciso de autenticação/autorização em aplicações web já tenho o ASP.NET Identity.</p>

<p>E quando vou ler sobre como usar essas tecnologias todas basicamente encontro tutoriais e artigos dizendo: ""faça assim"" e então é sempre daquele jeito que as coisas funcionam e pronto. Isso tudo deixa uma dúvida do tipo: ""tendo <em>tanta</em> coisa pronta e tudo já explicado exatamente <em>como</em> usar, o que eu tenho que programar de verdade?""</p>

<p>E essa pergunta é muito estranha, porque afinal, se eu estou trabalhando no projeto eu deveria saber o que preciso programar. Só que com tanta coisa disponível eu costumo me perder e quando vejo estou simplesmente replicando códigos que li sobre como aplicar determinadas tecnologias.</p>

<p>Sei que existe o modelo de domínio a ser desenvolvido. Mas isso é tudo? Quando lidamos com frameworks como o .NET só desenvolvemos o modelo de domínio e o integramos à tecnologia do jeito que é eplicado em tutoriais e etc? Como se lida com esse tipo de situação?</p>
",<orientação-a-objetos><framework>
Como funcionam protótipos em JavaScript?,"<p>Me parece que o conceito de protótipo é fundamental em JavaScript e inclusive em vários lugares tenho lido que é um de seus pontos fortes. Entretanto, este não parece um conceito tão simples de entender para quem vem de outras linguagens.</p>

<p>Assim, pergunto: como funcionam protótipos em JavaScript? </p>
",<javascript><orientação-a-objetos><protótipo>
